Code Famille,Libellé étendu nouvelle nomenclature achat,RFD niveau 2,Type de dépenses,,,,,,,Code Famille,Principales familles utilisées au LKB
AD.14,CYCLES ET CYCLOMOTEURS,C4,60688000,61350000,61220000,21820001,23180001,,,,
AD.15,VEHICULES TRACTES,C4,,61350000,61220000,21820001,23180001,,,,
AD.2,CARBURANTS,,,,,,,,,,
AD.21,CARBURANTS A LA POMPE,C4,60612000,,,,,,,,
AD.22,KEROSENE,C4,60612000,,,,,,,,
AD.23,CARBURANTS STOCKES,C4,60612000,,,,,,,,
AD.3,SERVICES POUR LE PARC VEHICULE,,,,,,,,,,
AD.31,CONTROLES TECHNIQUES DES VEHICULES,C4,61550000,,,,,,,,
AD.4,ENTRETIEN ET REPARATION DU PARC VEHICULE,,,,,,,,,,
AD.41,ENTRETIEN ET REPARATION DU PARC VEHICULE,C4,61550000,,,21820001,,,,,
AD.42,NETTOYAGE DES VEHICULES,C4,62880000,,,,,,,,
AD.43,MAINTENANCE DU MATERIEL ET DE L'OUTILLAGE DE GARAGE ,C4,61550000,,,,,,,,
AE,"ACTIVITES SPORTIVES, MUSICALES ET EXTERIEURES",,,,,,,,,,
AE.0,FOURNITURES ET EQUIPEMENTS POUR LE SPORT,,,,,,,,,,
AE.01,"VETEMENTS, CHAUSSURES ET ACCESSOIRES (HORS EPI)",F3,60688000,,,,,,,,
AE.02,PETITES FOURNITURES DE SPORT,F3,60688000,,,,,,,,
AE.03,"EQUIPEMENTS DE SPORT (POUR INFRASTRUCTURES,…)",F3,,,,21880001,,,,,
AE.1,FOURNITURES ET EQUIPEMENTS POUR ACTIVITES MUSICALES,,,,,,,,,,
AE.11,INSTRUMENTS DE MUSIQUE ET ACCESSOIRES,F3,60688000,,,,,,,,
AE.2,FOURNITURES ET EQUIPEMENTS POUR ACTIVITES RECREATIVES ET D'EXTERIEUR,,,,,,,,,,
AE.21,JEUX ET JOUETS,F3,60688000,,,21880001,23180001,,,,
AE.22,FOURNITURES ET EQUIPEMENTS POUR ACTIVITES EXTERIEURES,F3,60688000,,,21880001,23180001,,,,
AE.23,AUTRES FOURNITURES ET EQUIPEMENTS POUR ACTIVITES RECREATIVES,F3,60688000,,,21880001,23180001,,,,
AE.3,"REPARATION ET MAINTENANCE DES EQUIPEMENTS POUR ACTIVITES SPORTIVES, MUSICALES ET D'EXTERIEUR",,,,,,,,,,
AE.31,REPARATION ET MAINTENANCE DES EQUIPEMENTS DE SPORT,F3,61550000,,,21880001,,,,,
AE.32,REPARATION ET MAINTENANCE DES INSTRUMENTS DE MUSIQUE,F3,61550000,,,21880001,,,,,
AE.33,REPARATION ET MAINTENANCE DES EQUIPEMENTS POUR ACTIVITES RECREATIVES,F3,61550000,,,21880001,,,,,
AE.4,SERVICES SPORTIFS,,,,,,,,,,
AE.41,SERVICES D'ORGANISATION ET DE PROMOTION DES MANIF. SPORTIVES (HORS EVENEMENTIEL),A4,62880000,,,,,,,,
AE.42,"SERVICES D'EVALUATION, D'ENREGISTREMENT OU DE CONTROLE DES PRESTATIONS SPORTIVES",A4,62880000,,,,,,,,
AE.43,SERVICES D'EXPLOITATION DES INSTALLATIONS SPORTIVES ,A4,62880000,,,,,,,,
AE.44,AUTRES SERVICES POUR LE SPORT,A4,62880000,,,,,,,,
AE.5,SERVICES RECREATIFS,,,,,,,,,,
AE.51,SERVICES D'ANIMATION RECREATIFS,A4,62880000,,,,,,,,
AE.52,AUTRES SERVICES RECREATIFS,A4,62880000,,,,,,,,
AF,AUTRES APPROVISIONNEMENTS GENERAUX,,,,,,,,,,
AF.0,SALLES D'ENSEIGNEMENT,,,,,,,,,,
AF.01,MOBILIER PEDAGOGIQUE,A4,,,,21840001,,,,,
AF.1,AUTRES PETITES FOURNITURES GENERALES,,,,,,,,,,
AF.11,ARTICLES DE DECORATION ET D'ORNEMENT,A4,60630000,,,21880001,23180001,,,,
AF.2,AUTRES SERVICES GENERAUX,,,,,,,,,,
AF.21,LOCATION DE SALLES DE COURTE DUREE (HORS EVENEMENTIEL),A4,61320000,,,,,,,,
B,BATIMENTS - INFRASTRUCTURES - TRAVAUX - ESPACES VERTS,,,,,,,,,,
BA,FLUIDES ET COMBUSTIBLES,,,,,,,,,,
BA.0,FLUIDES (ABONNEMENTS ET CONSOMMATION) ET COMBUSTIBLES,,,,,,,,,,
BA.01,ELECTRICITE DISTRIBUEE ,A3,60611000,,,,,,,,
BA.02,COMBUSTIBLES GAZEUX DISTRIBUES ,A3,60613000,,,,,,,,
BA.03,EAU COURANTE,A3,60617000,,,,,,,,
BA.04,FIOUL DOMESTIQUE,A3,60612000,,,,,,,,
BA.05,CHAUFFAGE URBAIN,A3,60614000,,,,,,,,
BA.06,"AUTRES COMBUSTIBLES (BOIS DE CHAUFFAGE,…)",,,,,,,,,,
BA.1,EQUIPEMENTS RELATIFS A LA DISTRIBUTION DES FLUIDES,,,,,,,,,,
BA.11,"MATERIEL DE STOCKAGE DES FLUIDES (CUVES A FIOUL,…)",A3,60670000,,,21540001,23150001,,,,
BB,"FOURNITURES, EQUIPEMENTS ET SERVICES POUR L'ENTRETIEN DES LOCAUX ET L'HYGIENE",,,,,,,,,,
BB.0,FOURNITURES ET EQUIPEMENTS POUR L'ENTRETIEN DES LOCAUX ET L'HYGIENE,,,,,,,,,,
BB.01,PRODUITS ET PETITES FOURNITURES D'HYGIENE ET DE TOILETTE,B12,60630000,,,,,,,,
BB.02,PRODUITS ET PETITES FOURNITURES D'ENTRETIEN MENAGER,E1,60630000,,,,,,,,
BB.03,MATERIEL POUR L'ENTRETIEN DES LOCAUX,E1,60630000,61350000,61220000,21540001,23150001,,,,
BB.1,SERVICES DE NETTOYAGE/ENTRETIEN DES LOCAUX,,,,,,,,,,
BB.11,SERVICES DE NETTOYAGE COURANT DES LOCAUX,E1,61520000,,,,,,,,
BB.12,SERVICES DE NETTOYAGE SPECIALISE DES LOCAUX ,E1,61520000,,,,,,,,
BB.13,SERVICES DE NETTOYAGE DES VITRES,E1,61520000,,,,,,,,
BB.14,SERVICES DE NETTOYAGE ET D'ENTRETIEN DES LOCAUX SENSIBLES,B12,61520000,,,,,,,,
BB.2,SERVICES SPECIALISES D'ENTRETIEN DES LOCAUX,,,,,,,,,,
BB.21,SERVICES DE DESINFECTION,E1,61520000,,,,,,,,
BB.22,SERVICES DE DERATISATION,E1,61520000,,,,,,,,
BB.23,SERVICES DE DESINSECTISATION,E1,61520000,,,,,,,,
BB.24,"SERVICES DE DECONTAMINATION NUCLEAIRE, BIOLOGIQUE OU CHIMIQUE",B12,61520000,,,,,,,,
BB.3,SERVICES DE TRAITEMENT DES DECHETS,,,,,,,,,,
BB.31,SERVICES DE TRAITEMENT DES DECHETS CHIMIQUES ET ASSIMILES,B12,62880000,,,,,,,,
BB.32,SERV. TRAITMNT DECHETS BIOLOG. ET D'ACTIVIT. DE SOINS A RISQUES INFECTIEUX (DAS),B12,62880000,,,,,,,,
BB.33,SERVICES DE TRAITEMENT DES DECHETS RADIOACTIFS D'ACTIVITES NUCLEAIRES,B12,62880000,,,,,,,,
BB.34,SERVICES DE TRAITEMENT DES DECHETS DEEE,B12,62880000,,,,,,,,
BB.35,SERVICES DE TRAITEMENT DES DECHETS PAPIER,B12,62880000,,,,,,,,
BB.36,"SERVICES DE TRAITEMENT DES AUTRES DECHETS (MENAGERS, INDUSTRIELS,…)",B12,62880000,,,,,,,,
BB.4,REPARATION ET MAINTENANCE DU MATERIEL D'ENTRETIEN DES LOCAUX,,,,,,,,,,
BB.41,REPARATION ET MAINTENANCE DU MATERIEL D'ENTRETIEN DES LOCAUX,E1,61550000,,,21540001,,,,,
BC,AUTRES SERVICES AUX BÂTIMENTS,,,,,,,,,,
BC.0,"SERVICES D'ACCUEIL, GARDIENNAGE, PROTECTION ET SECURITE",,,,,,,,,,
BC.01,SERVICES DE GARDIENNAGE ET DE SECURITE,E1,62880000,,,,,,,,
BC.02,SERVICES DE TELESURVEILLANCE,E1,62880000,,,,,,,,
BC.03,SERVICES D'ACCUEIL,E1,62880000,,,,,,,,
BC.1,SERVICES DE CONTRÔLES REGLEMENTAIRES ,,,,,,,,,,
BC.11,"CONTRÔLES RELATIFS A L'ENVIRONNEMENT (EAU, EAUX USEES, INCINERATEURS…)",E1,62880000,,,,,,,,
BC.12,CONTRÔLES REGLEMENTAIRES DES EQUIPEMENTS DES BATIMENTS,E1,62880000,,,,,,,,
BC.13,SERVICES D'ANALYSES ET ESSAIS DES PRODUITS ET EQUIPEMENTS (hors scientifique),E1,61700000,,,,,,,,
BD,"FOURNITURES ET MATERIEL POUR LA CONSTRUCTION, L'AMENAGEMENT, L'EQUIPEMENT ET L'ENTRETIEN DES BÂTIMENTS ET INFRASTRUCTURES",,,,,,,,,,
BD.0,FOURNITURES ET MATERIEL POUR LA CONSTRUCTION ET L'ENTRETIEN DES BÂTIMENTS ET INFRASTRUCTURES,,,,,,,,,,
BD.01,MATERIAUX ET CONSOM. PR LA CONSTRUCT. ET L'ENTRETIEN DES BATIMENTS ET INFRASTR.,E3,60630000,,,,23130001,,,,
BD.02,FOURNITURES POUR LES INSTALLATIONS ELECTRIQUES DES BATIMENTS ET INFRASTRUCTURES,E3,60630000,,,21330001,23130001,,,,
BD.03,FOURNITURES DE PLOMBERIE ,E3,60630000,,,21330001,23130001,,,,
BD.04,OUTILLAGE POUR LA CONSTRUCTION ET L'ENTRETIEN DES BÂTIMENTS ET INFRASTRUCTURES,E3,60630000,61350000,,21540001,23150001,,,,
BD.05,BATIMENTS PREFABRIQUES OU MODULAIRES,E3,,61350000,,21540001,23150001,,,,
BD.1,FOURNITURES ET MATERIEL D'AMENAGEMENT DES BÂTIMENTS,,,,,,,,,,
BD.11,"PORTES, FENETRES ET MENUISERIES",E3,60630000,,,21320001,23130001,,,,
BD.12,FOURNITURES POUR LE REVETEMENT DES MURS ET PLAFONDS,E3,60630000,,,21340001,23130001,,,,
BD.13,FOURNITURES POUR LE REVETEMENT DES SOLS,E3,60630000,,,21340001,23130001,,,,
BD.14,FOURNITURES ET EQUIPEMENTS D'ORNEMENT DES LOCAUX,E1,60630000,,,21340001,23130001,,,,
BD.15,QUINCALLERIE POUR L'AMENAGEMENT ET L'ENTRETIEN DES BATIMENTS ,E1,60630000,,,,,,,,
BD.2,FOURNITURES ET MATERIEL POUR L'EQUIPEMENT DES BÂTIMENTS,,,,,,,,,,
BD.21,PETITES FOURNITURES ELECTRIQUES POUR L'EQUIPEMENT DES BATIMENTS ET INFRASTR.,E1,60630000,,,,23130001,,,,
BD.22,GROS EQUIPEMENTS DES INSTALLATIONS ELECTRIQUES,E3,,61350000,61220000,21330001,23130001,,,,
BD.23,EQUIPEMENTS MECANIQUES POUR BATIMENTS ,E3,60630000,,,21330001,23130001,,,,
BD.24,"EQUIPEMENTS DE CHAUFFAGE, VENTILATION, CLIMATISATION (HORS BAT. EXPERIMENTAUX)",E3,60630000,,,21330001,23130001,,,,
BD.25,EQUIPEMENTS SANITAIRES ET DE PLOMBERIE POUR L'EQUIPEMENT DES BATIMENTS,E3,60630000,,,21330001,23130001,,,,
BD.26,FOURNITURES ET EQUIPEMENT DE SIGNALISATION DES BATIMENTS ET INFRASTRUCTURES,E3,60630000,,,21330001,23130001,,,,
BD.27,"FOURNITURES ET EQUIPEMENTS DE SECURITE (SYSTEMES D'ALARMES, EXTINCTEURS,…)",E1,60630000,,,21330001,23130001,,,,
BE,TRAVAUX D'AMENAGEMENT ET DE MAINTENANCE DES BATIMENTS,,,,,,,,,,
BE.0,TRAVAUX D'AMENAGEMENT COURANTS DES BÂTIMENTS ET INFRASTRUCTURES,,,,,,,,,,
BE.01,"MACONNERIE, DEMOLITION ET DESAMIANTAGE",E3,61520000,,,21310001,23130001,,,,
BE.02,"MENUISERIE, SERRURERIE",E1,61520000,,,21320001,23130001,,,,
BE.03,"ETANCHEITE, BARDAGE, COUVERTURE ET ZINGUERIE",E3,61520000,,,21320001,23130001,,,,
BE.04,"PLATRERIE, CLOISONS SECHES, FAUX PLAFONDS",E1,61520000,,,21340001,23130001,,,,
BE.05,"PEINTURES, REVETEMENTS DE SOLS, RAVALEMENT",E3,61520000,,,21340001,23130001,,,,
BE.06,ELECTRICITE SUR INSTALLATIONS ELECTRIQUES DES BATIMENTS,E1,61520000,,,21330001,23130001,,,,
BE.07,"CVC, PLOMBERIE ET FLUIDES SPECIAUX",E3,61520000,,,21330001,23130001,,,,
BE.08,VOIRIE RESEAUX DISTRIBUTION (VRD),E1,61520000,,,21320001,23130001,,,,
BE.09,AUTRES TRAVAUX D'AMENAGEMENT DES BATIMENTS,E1,61520000,,,21310001,23130001,,,,
BE.1,REPARATION ET MAINTENANCE DES EQUIPEMENTS DES BATIMENTS,,,,,,,,,,
BE.11,REPARATION ET MAINTENANCE DES EQUIPEMENTS MECANIQUES DES BATIMENTS,E1,61520000,,,21330001,23130001,,,,
BE.12,REPARATION ET MAINTENANCE DES CHAMBRES FROIDES,B04,61520000,,,21540001,23150001,,,,
BE.13,REPARATION ET MAINTENANCE DES EQUIPEMENTS DE SECURITE,E1,61520000,,,21330001,23130001,,,,
BE.14,REPARATION ET MAINTENANCE DES INSTALLATIONS ET EQUIPEMENTS ELECTRIQUES,E1,61520000,,,21540001,,,,,
BE.15,"REPAR. ET MAINTENANCE EQUIPMTS CLIMATISATION, VENTILATION, CHAUFFAGE, RESERVOIRS",E1,61520000,,,21330001,23130001,,,,
BE.16,REPARATION ET MAINTENANCE DES EQUIPEMENTS SANITAIRES ET PLOMBERIE,E1,61520000,,,21330001,23130001,,,,
BE.17,REPARATION ET MAINTENANCE DES AUTRES EQUIPEMENTS DES BATIMENTS,E1,61520000,,,,23130001,,,,
BE.2,NE PLUS UTILISER,,,,,,,,,,
BE.21,NE PLUS UTILISER,,,,,,,,,,
BF,TRAVAUX DE CONSTRUCTION ET SERVICES CONNEXES,,,,,,,,,,
BF.0,OPERATIONS DE TRAVAUX DE CONSTRUCTION,,,,,,,,,,
BF.01,TRAVAUX DE CONSTRUCTION NEUVE ,E3,,,,,23130001,,,,
BF.02,TRAVAUX DE REHABILITATION OU DE REUTILISATION ,E3,,,,,23130001,,,,
BF.03,TRAVAUX DE MISE EN SECURITE OU DE MISE EN CONFORMITE REGLEMENTAIRE,E3,,,,,23133001,,,,
BF.1,SERVICES  D'ETUDE  POUR LA CONSTRUCTION ET L'ENTRETIEN,,,,,,,,,,
BF.11,"ASSISTANCE A LA MAITRISE D'OUVRAGE, CONDUITE D'OPERATIONS, APP",E3,62260000,,,,23130001,,,,
BF.12,MAITRISE D'ŒUVRE ET INGENIERIE,E3,62260000,,,,23130001,,,,
BF.13,"ETUDES PREALABLES (TOPOGRAPHIE, ETUDES DE SOL, PROSPECTION…), PROGRAMMATION",E3,62260000,,,,23130001,,,,
BF.14,"CONTROLES TECHNIQUES, MISSIONS DE SECURITE, CSPS ",E3,62260000,,,,23130001,,,,
BF.15,"DIAGNOSTICS, ORDONNANCEMENT-PILOTAGE-COORDINATION (OPC), SSI ",E3,62260000,,,,23130001,,,,
BG,ESPACES VERTS,,,,,,,,,,
BG.0,PRODUITS ET EQUIPEMENTS POUR LA CREATION ET L'ENTRETIEN DES ESPACES VERTS,,,,,,,,,,
BG.01,PRODUITS PHYTOSANITAIRES POUR ESPACES VERTS,E1,60630000,,,,,,,,
BG.02,"SEMENCES, ARBRES, PLANTES ET FLEURS POUR ESPACES VERTS",E1,60630000,,,,,,,,
BG.03,PETITES FOURNITURES POUR ESPACES VERTS,E1,60630000,,,,,,,,
BG.04,MATERIEL POUR CREATION ET ENTRETIEN D'ESPACES VERTS,E1,60630000,61350000,,21540001,23150001,,,,
BG.1,REPARATION ET MAINTENANCE DES EQUIPEMENTS POUR ESPACES VERTS,,,,,,,,,,
BG.11,REPARATION ET MAINTENANCE DU MATERIEL D'ENTRETIEN DES ESPACES VERTS ,E1,61550000,,,21540001,23150001,,,,
BG.2,SERVICES RELATIFS AUX ESPACES VERTS,,,,,,,,,,
BG.21,SERVICES DE CREATION ET D'ENTRETIEN DES ESPACES VERTS,E1,61520000,,,21200001,23200001,,,,
C,COMMUNICATION - CULTURE - DOCUMENTATION,,,,,,,,,,
CA,"COMMUNICATION : CONCEPTION, EDITION, IMPRESSION",,,,,,,,,,
CA.0,COMMUNICATION : CONCEPTION DE PUBLICATIONS,,,,,,,,,,
CA.01,COMMUNICATION : CONCEPTION-REDACTION,B11,62370000,,,,,,,,
CA.02,COMMUNICATION : CONCEPTION-REALISATION,B11,62370000,,,,,,,,
CA.03,COMMUNICATION : TRAVAUX GRAPHIQUES ,C3,62380000,,,,,,,,
CA.04,COMMUNICATION : TRAVAUX PHOTOGRAPHIQUES ,C3,62380000,,,,,,,,
CA.1,COMMUNICATION : COMMUNICATION WEB,,,,,,,,,,
CA.11,"COMMUNICATION : CONCEPTION, REALISATION DE SITES INTERNET ET FRAIS CONNEXES",B11,62370000,,,20800001,23200001,,,,
CA.12,COMMUNICATION : CONCEPTION ET REALISATION DE RESEAUX SOCIAUX,B11,62370000,,,20800001,23200001,,,,
CA.13,COMMUNICATION : CONCEPTION ET REALISATION D'APPLICATIONS MOBILES ET WEB,B11,62370000,,,20800001,23200001,,,,
CA.14,COMMUNICATION : CONCEPTION ET REALISATION D'AUTRES OUTILS DE COMMUNICATION WEB,B11,62370000,,,20800001,23200001,,,,
CA.2,COMMUNICATION : EDITION,,,,,,,,,,
CA.21,COMMUNICATION : EDITION DE DOCUMENTS IMPRIMES,B11,62370000,,,,,,,,
CA.22,COMMUNICATION : EDITION DE DOCUMENTS WEB,B11,62370000,,,,,,,,
CA.23,COMMUNICATION : CORRECTION ET RELECTURE DE DOCUMENTS,B11,62380000,,,,,,,,
CA.24,COMMUNICATION : DIFFUSION ET PROMOTION DE DOCUMENTS SUR TOUS SUPPORTS,B11,62380000,,,,,,,,
CA.3,COMMUNICATION : PRODUCTION AUDIOVISUELLE,,,,,,,,,,
CA.31,COMMUNICATION : CONCEPTION-REALISATION AUDIOVISUELLES,B11,62370000,,,,,,,,
